Id,unidad,comentarios,fecha,fechareg,userreg,fechamod,usermod,IdModulo
12644,1079,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,50:11.3,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-11:50:11-1079
12645,1011,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,16:45.6,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-13:16:45-1011
12646,1010,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,17:20.0,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-13:17:19-1010
12647,1052,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,17:49.9,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-13:17:49-1052
12648,1069,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,18:30.2,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-13:18:30-1069
12649,1029,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,19:05.5,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-13:19:05-1029
12650,1059,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,19:37.7,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-13:19:37-1059
12651,1036,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,20:06.8,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-13:20:06-1036
12652,1091,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,02:36.6,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-14:02:36-1091
12653,1100,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,30:00.3,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-14:30:00-1100
12654,5,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,49:24.8,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-15:49:24-005
12655,1,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,49:51.8,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-15:49:51-001
12656,1039,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,50:23.8,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-15:50:23-1039
12657,1083,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,50:53.4,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-15:50:53-1083
12658,1060,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,14:42.2,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-17:14:42-1060
12659,1029,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,15:03.4,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-17:15:03-1029
12660,138,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,15:24.3,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-17:15:24-138
12661,1087,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,15:45.7,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-17:15:45-1087
12662,143,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,58:14.4,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-21:58:14-143
12663,1044,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,58:32.9,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-21:58:32-1044
12664,11,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,00:43.1,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-22:00:43-0011
12665,1096,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,01:02.0,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-22:01:02-1096
12666,1106,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,01:20.5,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-22:01:20-1106
12667,1064,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,01:41.5,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-22:01:41-1064
12668,1102,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,02:00.5,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-22:02:00-1102
12669,1105,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,02:21.5,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-22:02:21-1105
12670,1092,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,02:39.3,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-22:02:39-1092
12671,1104,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,02:56.7,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-22:02:56-1104
12672,1069,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,03:18.4,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-22:03:18-1069
12673,13,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,24:30.0,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-22:24:29-0013
12674,1103,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,01:10.3,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-23:01:10-1103
12675,131,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,54:59.7,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-23:54:59-131
12676,1073,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,55:20.7,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-23:55:20-1073
12677,1026,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,55:38.7,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-23:55:38-1026
